Course	Room	Teacher	Time	Students
1	SHA410	239	5	570 63 723 
3	HLS109	99	5	407 78 416 385 
4	CHSAUD	151	23	643 21 704 658 166 
5	STOAUD	251	6	61 
7	STOAUD	178	36	715 1015 338 1098 131 135 378 371 706 791 185 660 694 548 868 999 313 1181 783 163 1155 898 354 214 1097 674 57 52 429 304 853 562 563 1022 482 
9	SHAAUD	281	6	446 1053 1082 451 996 150 
12	CHSAUD	68	56	681 732 1180 
15	STOAUD	22	10	716 278 1017 1025 6 26 88 80 81 85 1170 584 454 457 175 977 1080 182 652 653 11 16 19 752 598 990 765 413 499 574 730 891 1116 766 767 1092 538 111 823 1165 568 750 1023 1037 1161 44 638 479 
17	STOAUD	108	9	681 1096 
19	SHAAUD	160	1	1013 444 747 235 130 828 245 519 511 966 260 954 1046 1027 487 
20	SHAAUD	272	40	1078 720 
21	STOAUD	72	22	813 270 492 493 17 696 416 411 496 507 896 1153 288 260 426 1127 728 
22	HLS109	122	31	714 193 433 859 92 490 1131 1136 13 881 928 731 301 847 489 
24	STOAUD	23	16	344 917 903 556 83 624 545 1181 497 784 632 761 266 156 476 
26	STOAUD	113	40	197 273 495 517 1125 885 414 1104 876 229 723 
27	STOAUD	151	58	201 677 772 1029 1163 
28	SHAAUD	145	51	595 903 657 865 935 358 677 117 1115 
29	CHSAUD	215	39	736 198 272 1015 238 946 944 683 629 84 322 778 1048 1181 574 254 961 1152 1094 537 116 113 727 49 1113 
31	SHAAUD	151	29	705 
33	CHSAUD	212	41	449 447 34 80 627 78 804 8 991 312 787 503 282 262 989 116 737 224 
36	STOAUD	17	55	890 
39	SHA410	317	40	1139 659 549 838 359 568 
42	SHA410	185	56	124 
45	CHSAUD	179	38	1145 718 619 195 556 614 143 768 589 208 696 923 496 388 570 259 968 1071 50 63 983 1164 399 958 1111 472 
47	SHAAUD	107	58	125 837 
50	SHAAUD	261	10	816 193 900 558 585 450 1110 324 995 416 579 1079 918 1036 609 
51	SHAAUD	52	21	1144 
52	CHSAUD	304	37	915 1061 553 552 703 175 577 256 464 
53	STOAUD	36	48	154 
58	STOAUD	157	51	342 1062 430 1053 140 680 88 886 1179 203 665 786 967 287 670 53 843 1024 41 479 
59	SHA410	196	37	75 780 802 
60	SHA410	127	29	336 144 403 1170 888 468 894 215 
62	SHAAUD	87	36	810 712 710 198 522 108 91 137 379 395 241 884 929 1011 418 832 833 1102 983 113 1164 1068 565 157 749 
63	STOAUD	31	35	1144 1063 1135 103 1005 768 406 1176 586 519 459 620 1089 1012 1043 1143 1016 923 418 830 1109 218 1033 50 422 1068 472 478 
64	ESTW307	107	52	343 810 106 332 741 551 230 1054 949 491 601 1110 883 1140 664 697 998 410 250 164 600 893 671 988 841 821 1160 159 46 
65	ESTW307	285	31	294 275 852 900 815 742 1056 145 681 89 86 246 615 320 655 661 695 540 123 788 1034 1159 1180 1112 
68	STOAUD	180	44	796 607 
69	SHAAUD	62	57	712 1063 372 185 950 321 77 8 990 861 383 258 1107 357 422 958 
72	CHSAUD	21	10	396 451 14 996 498 786 898 675 150 49 955 
74	SHA410	159	0	1083 46 
77	SHA410	69	59	
79	STOAUD	14	59	196 900 952 461 463 
80	CHSAUD	292	14	426 
81	SHA410	174	47	557 926 1177 874 
84	STOAUD	143	50	1062 442 100 323 311 730 119 560 
86	SHA410	225	42	245 543 539 
87	CHSAUD	133	17	271 528 104 37 1004 406 68 922 509 
89	SHA410	159	8	645 1000 741 1059 183 71 
90	STOAUD	230	28	396 1133 560 
91	CHSAUD	43	7	816 917 190 432 942 490 20 28 1008 887 921 383 570 509 637 1091 211 285 260 55 535 119 825 1035 
93	STOAUD	248	34	666 997 418 909 800 533 773 422 1068 
96	SHAAUD	134	34	296 100 243 1080 1042 166 357 670 843 155 638 1163 
98	STOAUD	4	8	817 910 1013 133 22 403 409 626 179 19 209 122 124 1134 830 254 603 469 935 1074 4 1093 987 855 222 49 485 
99	STOAUD	57	49	1005 1091 
100	STOAUD	137	4	491 671 305 
102	CHSAUD	90	36	794 568 
103	SHAAUD	126	28	913 
106	SHA410	188	10	109 96 393 586 587 511 1047 697 968 908 1157 63 773 569 
107	SHAAUD	296	19	444 431 235 1007 406 1032 1045 1143 410 834 575 934 673 953 757 1117 
108	CHSAUD	105	1	525 599 337 333 1 951 510 176 975 181 659 127 1128 416 312 468 961 679 115 1022 48 1185 474 
109	SHAAUD	104	22	
110	CHSAUD	62	40	64 
111	SHAAUD	153	4	595 273 1 687 213 1075 
115	SHAAUD	97	49	190 818 1057 149 131 829 702 84 206 1041 921 579 255 354 212 989 223 726 155 399 638 
116	SHA410	52	32	1144 757 567 477 
118	STOAUD	110	41	994 132 136 654 540 1096 878 
121	CHSAUD	41	34	1064 20 129 252 251 501 633 874 724 
123	SHAAUD	170	8	907 334 129 835 1073 534 225 
124	STOAUD	297	12	433 13 579 569 737 
127	SHAAUD	127	41	713 272 436 133 702 978 188 209 502 165 823 
128	HLS109	87	29	1144 347 102 435 93 1176 666 
129	HLS109	118	8	1150 616 27 375 780 1003 
131	SHAAUD	329	59	186 
132	CHSAUD	320	13	197 337 1147 732 465 
133	CHSAUD	27	6	347 1063 142 218 
134	HLS109	160	56	718 906 1018 1008 207 698 
136	SHAAUD	132	50	790 167 984 
138	SHA410	20	34	
140	CHSAUD	311	8	751 563 
142	STOAUD	141	43	949 
144	SHAAUD	165	55	83 978 805 548 998 465 648 266 302 562 564 482 
145	CHSAUD	233	59	90 
147	SHAAUD	73	44	525 435 178 663 462 646 1068 634 
149	ESTW307	292	29	869 313 967 770 422 
150	CHSAUD	276	51	346 557 620 168 807 429 841 821 849 722 1161 1111 
155	STO10	195	34	345 1062 274 526 449 105 331 550 140 1082 943 941 400 1133 1009 886 867 128 733 936 935 875 352 803 358 217 986 117 846 1036 150 955 
158	CHSAUD	71	55	880 570 265 843 
160	STOAUD	2	53	976 997 123 211 954 48 487 
161	HLS109	226	0	798 
163	CHSAUD	82	28	349 1098 140 708 88 976 654 120 125 367 1172 506 873 350 219 284 676 958 
165	STOAUD	105	27	135 
168	SHA410	242	36	340 332 1059 248 998 
169	STOAUD	160	25	889 72 598 600 
172	HLS109	257	34	1183 1162 290 190 35 1053 614 495 584 924 170 656 253 662 542 127 861 255 467 9 891 647 210 1092 1022 609 1161 47 44 43 
175	CHSAUD	166	49	682 315 1169 
177	CHSAUD	17	19	743 940 793 217 
180	STOAUD	48	26	592 704 17 722 
181	STOAUD	18	15	106 555 394 203 311 1174 730 282 269 53 
184	SHA410	76	11	1150 453 975 181 185 884 659 363 966 872 1116 54 1184 
188	STOAUD	39	3	292 528 1085 932 707 189 889 319 505 281 474 
192	HLS109	26	40	290 1014 330 1137 173 1122 320 121 129 416 417 782 789 65 466 1108 872 265 268 54 53 1171 827 1024 1167 44 486 
194	CHSAUD	292	4	
197	SHA410	11	14	812 1019 289 
199	ESTW307	239	46	910 745 1139 688 135 122 151 479 
202	HLS109	167	14	1061 199 524 523 39 335 236 26 403 87 587 626 624 174 973 654 188 12 867 885 326 779 70 662 543 540 381 258 252 602 631 633 901 1129 1076 678 1092 1121 1171 534 421 423 609 470 
204	ESTW307	54	56	1145 712 593 102 33 858 137 401 379 580 241 864 321 997 126 383 384 1107 909 701 303 565 41 
205	SHAAUD	199	3	1005 1016 
209	SHA410	230	55	915 594 290 192 438 1002 792 1136 1088 10 209 2 1049 542 602 165 213 767 1076 1164 954 1026 635 398 1113 
211	SHAAUD	75	30	292 848 1098 933 869 1155 563 567 390 483 
