Class Times	58
Rooms	47
1	985
2	162
3	863
4	562
5	207
6	844
7	610
8	479
9	154
10	734
11	759
12	841
13	929
14	518
15	793
16	300
17	740
18	775
19	17
20	695
21	921
22	608
23	504
24	158
25	309
26	591
27	489
28	709
29	859
30	552
31	783
32	261
33	805
34	464
35	422
36	342
37	573
38	457
39	109
40	781
41	258
42	882
43	671
44	299
45	717
46	620
47	706
Classes	260
Teachers	257
1	53	220 163
2	56	7
3	60	213 228 220
4	51	247 125
5	23	94
6	25	247
7	68	55 106
8	72	40 64
9	68	34 104
10	51	213 163 12
11	43	21
12	36	42 115
13	68	91
14	49	90
15	55	191
16	63	15 46
17	55	52 122 29
18	29	206
19	42	21 3
20	45	183 73
21	22	32 15
22	18	162 7
23	62	38 147 194
24	63	101
25	65	250 212
26	45	232 20
27	73	155 67
28	35	255 29 72
29	62	110 174 144
30	18	211 201
31	49	223 10
32	47	217 90
33	34	173 209
34	26	126
35	38	237
36	33	180
37	45	101
38	25	133
39	35	46
40	34	187 252 32
41	27	30
42	69	124 223
43	32	246 255
44	26	112
45	18	102
46	62	59
47	31	187 203 257
48	70	227 236
49	18	128
50	31	1 95 9
51	53	100 150
52	45	97
53	52	150
54	62	192
55	33	207 125
56	33	159
57	36	38 132
58	39	86 197
59	18	26 244
60	39	162
61	36	43 89
62	40	157
63	63	87
64	27	130 186
65	33	199 161 230
66	59	12
67	22	82 204
68	69	91
69	53	205
70	54	68
71	47	25 61 57
72	24	235 200
73	37	236 17 8
74	35	182 198 164
75	21	49 189 217
76	19	253 44
77	50	54 228 175
78	43	63 22
79	36	117 63 143
80	21	106 86
81	32	64 16 196
82	52	85 211
83	35	160 209
84	72	245
85	62	246 249 110
86	51	175
87	34	176 145
88	41	156 165 244
89	59	50 172
90	31	183 50 210
91	39	159 145 97
92	35	181 154
93	35	157
94	42	3
95	35	201 241 173
96	25	242
97	64	73 147
98	59	55
99	32	245
100	34	256 85
101	43	69 248
102	73	84 216 6
103	43	92 152 254
104	65	78 168
105	73	51 116 122
106	41	182 248 241
107	49	44 88 202
108	61	144
109	73	30 180 100
110	41	76
111	24	80
112	48	172 71 96
113	50	120
114	60	197 135 146
115	67	226
116	18	126 102
117	43	251 84
118	26	154 45 226
119	62	174
120	65	216 230 128
121	19	22
122	29	164 237
123	26	169 65
124	53	60 28
125	53	218 93
126	49	139 6
127	29	113 41 115
128	31	249 14 20
129	39	254
130	53	196 136
131	50	225
132	53	135
133	23	234 26
134	68	18 77 11
135	27	171 67
136	39	112 156 47
137	61	98 141
138	62	66
139	21	87 142
140	28	89
141	46	130 76 208
142	64	48 83
143	35	70
144	42	149 11 49
145	29	1
146	62	178 214 191
147	26	232 158
148	41	36 14 59
149	63	151 119
150	55	189 66 256
151	24	19 257
152	61	143 25 215
153	40	65 198 119
154	30	60 120
155	38	16 13
156	24	77
157	72	34 113 54
158	31	123 239 199
159	56	152 225
160	63	142 195
161	18	212 140
162	41	114 210 23
163	59	56
164	42	243
165	26	4 95
166	57	235 124
167	22	204 229 72
168	73	137
169	35	224 158 178
170	35	185 132 169
171	41	160 190 78
172	61	227
173	26	61 234 35
174	70	81 56
175	64	203 151 167
176	74	231 108 104
177	21	47
178	48	37 238
179	67	114 239
180	61	221 4
181	31	222 153
182	24	206 111 166
183	25	233 24
184	35	193 146 40
185	48	195 111 118
186	56	238 171
187	58	202
188	24	74
189	35	179 5
190	55	127 139 62
191	58	251 98 93
192	67	2
193	32	136 118
194	62	107 240
195	27	36 74 17
196	53	141 181
197	59	192 9
198	35	166
199	24	24
200	21	137 161
201	22	71
202	59	233
203	21	117 27 45
204	71	140 205 165
205	41	138
206	63	10 218 186
207	46	176
208	71	133
209	72	107 184 185
210	43	81
211	43	109 2 48
212	35	148 149
213	38	250
214	73	103
215	67	222 43 184
216	41	153 105 51
217	37	123 167
218	60	83
219	57	170 42
220	52	221 229 194
221	47	57
222	52	23
223	36	116 99
224	63	179 69
225	32	27 127
226	26	108
227	56	208 168
228	18	28 131
229	62	177 190 215
230	28	105 138 131
231	64	37
232	69	75 82 75
233	46	62 243
234	62	200
235	43	207 109 8
236	34	96 253
237	18	39 53
238	25	129
239	25	39
240	38	33 214 134
241	38	80
242	65	193 13 170
243	41	92 33
244	47	70
245	50	79 148
246	70	41 121 224
247	18	121 103 231
248	72	252 58
249	73	155 58 53
250	31	177
251	63	68
252	61	31 31 5
253	23	219 242
254	63	219 35
255	72	52 18
256	55	94 19 129
257	27	134 99
258	54	188
259	67	188 79
260	31	240
Teacher Preferences
1	38
2	26 46
3	51 28
4	15
5	14 9 15
6	53 42 45
7	46 17 6
8	46
9	12 37
10	53 43 57
11	56
12	7 20
13	15 24 42
14	52 41
15	7 46 37
16	50 43 48
17	18 51 16
18	18
19	41 30
20	38 32
21	20 35 39
22	3 36 7
23	47 41
24	37 16 50
25	37 40 58
26	18 27 22
27	21
28	35
29	43
30	6
31	58
32	8
33	16 45
34	5 12 8
35	35 41
36	53
37	50 58
38	44 12
39	51
40	10
41	31 4
42	18 2 4
43	36 44 1
44	40 6 8
45	5 23
46	29 24 35
47	12 34
48	51 56 38
49	37 18
50	48
51	21 49
52	16 28 48
53	8 41
54	35
55	57
56	38 18
57	21 45
58	12 42 43
59	50 1 10
60	45 38 7
61	33
62	47 56
63	18 10 11
64	21 9
65	24
66	33
67	21 6 32
68	3 38 17
69	20 15 30
70	14 32
71	44 22
72	13
73	30
74	6 35 56
75	26
76	6 44
77	16
78	7 9
79	6 18
80	8 12 53
81	29 24 14
82	49
83	2
84	12 21
85	1
86	9 30 43
87	55
88	28 22 2
89	30
90	25 31
91	10 36
92	53
93	24 16
94	6 49 34
95	10 36
96	53 36
97	36 20 2
98	48
99	32
100	12 23 44
101	37
102	52 38 11
103	44 32
104	57
105	21 43
106	10 54 53
107	34
108	35 58 14
109	14 13
110	29 45 39
111	52 1
112	52 44 50
113	30
114	39 7
115	8 29
116	37 21 25
117	17 16 49
118	3 8
119	1 49 36
120	46
121	27
122	22 40
123	2 37 32
124	34 51
125	32 13
126	26 38
127	4
128	17 13
129	5 24
130	38 16
131	49 32 39
132	53 51
133	33 20 23
134	19 12
135	57 56 31
136	30 39 32
137	35
138	53 8 10
139	34 37
140	5 3
141	39 43 20
142	25 32
143	6 3
144	3 8
145	34
146	39 6 29
147	21 19
148	9 32 46
149	55
150	4
151	26
152	16 36
153	12 21 28
154	27
155	2
156	58
157	52 34
158	12
159	55
160	49 16
161	49 12
162	8
163	17 31
164	33 29 26
165	12 26
166	45
167	2 26 7
168	28 46 58
169	5
170	6 33
171	27 40 15
172	19
173	1 51 2
174	6 33 48
175	10 24 54
176	31 47
177	6 9 46
178	11
179	46
180	48 6
181	4
182	42
183	47
184	45
185	58 17
186	35
187	47
188	38
189	21 16 32
190	57 35
191	32
192	24
193	46 4 38
194	40
195	8 50
196	3
197	14
198	33
199	24 27
200	30 4
201	56
202	6 42
203	15
204	40
205	11 17
206	23
207	26 28 27
208	47
209	12 39
210	16 41 29
211	20 8 16
212	39 34 36
213	52
214	41 10 35
215	48 40 46
216	16 30 26
217	6
218	37 47
219	6 51 45
220	39 14 50
221	43 19
222	40 9
223	19
224	32 37
225	49
226	15 30 57
227	18 2
228	15 27 23
229	6 27 21
230	28
231	9
232	51
233	2 47 39
234	57
235	9
236	25 1
237	8 31
238	54 29
239	40 8
240	34
241	57 41
242	38 24 53
243	52 12
244	51 32 41
245	27
246	8
247	43
248	5
249	50 54 52
250	21 37 10
251	50 29 7
252	47
253	29
254	31 15 2
255	36 54 24
256	47 57
257	6 49 35
