Students	1176
1	40 106 259 188
2	88 195 14 253
3	2 57 24 246
4	183 220 5 33
5	68 79 252 152
6	44 185 135 93
7	243 102 212 86
8	180 179 13 163
9	93 232 152 251
10	177 23 181 3
11	55 78 85 127
12	22 64 255 102
13	128 57 225 4
14	106 56 251 240
15	119 81 212 116
16	204 38 93 246
17	137 237 260 3
18	107 76 2 61
19	206 100 95 106
20	94 241 64 101
21	101 115 177 27
22	14 129 43 13
23	173 131 159 98
24	186 33 46 159
25	2 99 109 40
26	183 169 137 238
27	176 99 62 51
28	246 37 135 123
29	114 210 65 241
30	218 162 65 110
31	23 95 104 165
32	32 118 163 64
33	234 173 29 47
34	62 176 1 27
35	68 186 69 32
36	147 75 205 54
37	36 31 116 249
38	211 228 60 112
39	136 56 95 66
40	215 175 11 42
41	44 203 181 75
42	128 232 114 29
43	87 232 194 103
44	164 41 93 172
45	216 96 156 173
46	159 205 235 165
47	207 236 243 37
48	210 201 223 96
49	88 26 72 121
50	254 253 244 139
51	204 205 246 176
52	85 20 237 15
53	205 232 29 203
54	112 53 75 17
55	135 227 39 48
56	25 125 152 238
57	256 220 211 45
58	220 152 231 63
59	140 38 230 145
60	179 84 110 116
61	81 216 28 222
62	111 229 247 43
63	158 68 187 185
64	218 79 133 47
65	245 83 168 203
66	194 22 174 136
67	205 68 151 245
68	26 124 151 212
69	193 165 106 154
70	243 71 136 147
71	94 174 34 183
72	73 116 61 156
73	157 245 79 123
74	215 59 240 82
75	260 66 178 140
76	139 140 6 33
77	149 190 103 13
78	139 219 5 134
79	242 129 29 72
80	243 142 50 226
81	161 65 96 77
82	42 174 8 228
83	142 205 169 50
84	55 132 112 148
85	217 176 140 85
86	128 205 156 19
87	132 215 75 37
88	171 217 252 12
89	66 61 99 109
90	250 131 196 163
91	5 243 37 175
92	85 21 198 194
93	32 145 77 64
94	89 3 191 117
95	244 69 7 94
96	203 126 213 25
97	260 184 76 137
98	37 259 182 24
99	107 178 52 87
100	227 219 155 22
101	45 131 164 220
102	167 16 135 100
103	228 187 189 161
104	20 204 73 218
105	183 203 156 123
106	195 37 21 89
107	86 64 43 58
108	181 17 18 198
109	109 207 37 22
110	89 221 35 57
111	127 44 184 164
112	220 196 146 19
113	69 146 18 3
114	206 170 139 46
115	193 153 213 255
116	127 58 69 167
117	64 123 185 127
118	134 216 123 207
119	78 101 203 119
120	2 169 133 9
121	79 5 259 248
122	104 68 126 246
123	78 86 51 252
124	89 144 118 247
125	8 228 13 164
126	188 259 245 46
127	74 48 108 128
128	67 246 213 210
129	4 111 177 260
130	228 94 196 158
131	14 24 45 223
132	69 60 116 152
133	87 95 27 71
134	55 222 241 4
135	108 192 22 129
136	41 173 87 47
137	193 166 171 32
138	32 43 207 40
139	140 28 227 252
140	138 119 16 259
141	110 1 145 9
142	222 48 255 135
143	225 210 109 90
144	200 212 226 131
145	97 241 229 260
146	163 203 108 9
147	215 60 23 179
148	74 149 197 260
149	212 175 88 120
150	4 180 251 120
151	215 29 223 59
