Students	1176
1	11 20 39 57
2	242 233 141 55 49
3	122 249 177 247 176
4	88 35 6
5	58 179 92 51
6	103 210 154
7	142 60 15
8	157 25 145 42 141
9	141 121 132 60 87
10	39 43 228
11	210 97 43 155
12	46 181 179
13	133 83 222 210
14	124 28 4 101
15	142 225 163 182
16	26 36 78
17	239 224 145 160
18	208 204 39 136 197
19	138 57 175
20	231 93 89 260 13
21	183 90 98 79
22	16 209 144
23	197 246 103 141 56
24	20 207 129
25	52 208 3
26	260 165 240 177
27	146 222 167 184
28	82 13 254 21
29	225 96 60
30	23 205 151 142
31	205 31 76 57 208
32	128 211 28 70
33	128 9 176 145 18
34	28 185 51
35	46 129 165
36	117 258 151 172 230
37	14 90 42 122
38	233 138 177
39	111 19 219 183
40	4 160 241
41	176 66 117 189
42	41 125 131 189
43	5 36 213 21
44	190 171 89
45	57 106 6
46	164 58 83
47	212 129 136 222
48	75 126 82 63
49	225 224 20 13
50	97 166 174 178
51	145 62 152
52	146 180 183
53	94 23 10 16 258
54	183 4 61
55	44 167 202 101 218
56	11 83 179 129
57	29 194 97 190
58	215 50 202
59	112 200 28 188
60	118 38 189
61	218 6 160 40 60
62	18 216 68 187
63	254 106 78 58 220
64	30 180 228 168 94
65	248 200 54 198 44
66	187 5 217 154 183
67	38 11 207
68	59 123 133 223 35
69	173 123 11 155 199
70	53 137 44 170 229
71	141 87 203 178
72	51 210 59 159
73	247 135 209 175 171
74	27 259 204 51 43
75	204 118 45
76	13 125 183
77	48 174 96 104 193
78	226 222 20 12 181
79	165 132 154
80	152 199 16 30 117
81	196 150 256 90
82	159 199 13
83	136 9 54 213
84	173 172 153
85	54 172 69
86	40 87 151
87	112 111 96
88	252 157 212
89	185 179 41 151 220
90	22 58 82
91	146 54 142 140
92	147 168 198
93	154 232 116 120 198
94	30 87 192 257 203
95	55 256 207
96	35 34 204 36
97	116 220 34
98	130 190 25 254
99	46 200 170 175 53
100	247 135 137 115
101	8 6 169 34 67
102	144 91 184
103	26 157 244
104	102 56 75 60 15
105	249 188 193 86
106	65 210 244 108 118
107	132 161 232 102
108	249 24 133 260 5
109	257 101 53
110	178 163 45
111	156 60 177 101 69
112	225 9 166 177
113	110 69 143
114	211 240 7 187 152
115	241 165 180 198 187
116	128 36 116
117	83 189 212 246
118	5 89 59
119	256 151 155 195 24
120	182 121 260 11 181
121	111 192 64
122	211 231 220 156 161
123	254 139 8 222
124	246 259 10 159 100
125	54 8 134
126	206 74 249
127	140 258 72 83 85
128	8 44 104 3
129	83 239 57 127 31
130	82 187 194 101
131	110 103 23 255 186
132	82 50 62
133	126 202 157 180 259
134	254 152 127
135	54 236 234 202 127
136	89 54 70 199 161
137	214 57 63 239 92
138	134 2 222
139	18 28 109 188
140	69 167 200 21
141	167 89 106 6
142	215 216 107 159
143	33 122 259 101
144	96 219 20
145	136 142 129 254 74
146	32 84 120
147	123 64 150
148	139 41 161
149	57 31 50 174
150	7 134 71
151	7 85 107 233
152	65 228 89 140
153	237 82 230 144 30
154	194 45 66
155	37 125 143
156	101 143 186 193 52
157	157 224 211 222 124
158	60 113 129 240
159	103 141 160
160	163 105 209 226 212
161	170 260 172 40 150
162	203 138 82
163	160 229 196
164	26 14 3 30 35
165	253 82 97 6 66
166	20 23 81 9
167	228 256 63 66 220
168	86 226 225 164
169	157 16 183
170	206 162 172
171	135 241 116 161 172
172	19 92 212 175 167
173	144 88 189
174	119 200 45 36 172
175	205 43 177 49
176	158 229 260 201
177	73 199 105 257 8
178	226 28 218 175 174
179	55 134 5 102 164
180	122 193 152 102
181	151 49 238
182	253 237 111
183	67 82 243 222 250
184	208 9 44
185	229 141 189 183 110
186	16 164 50
187	110 82 60 25
188	163 255 254 218 71
189	94 199 206 171 43
190	192 133 93
191	24 179 189 163 202
192	96 20 225
193	59 24 41 236
194	230 48 104 118
195	124 16 41 151 116
196	80 18 100 63
197	132 237 258 163
198	242 208 98
199	167 97 239 186
200	45 161 172 17
201	216 64 103 229
202	151 6 91
203	99 69 172
204	107 21 260 43
205	124 108 116 162 166
206	174 252 258 220
207	225 60 251 67
208	21 162 232 174 76
209	11 161 194 202
210	238 160 185
211	19 63 251 21 109
212	253 137 60 250
213	223 123 124 41 226
214	118 73 82 200 148
215	62 105 24 155
216	233 212 133 155 249
217	121 151 179 196
218	214 92 49 254
219	169 93 164 247
220	126 165 154
221	40 169 31
222	136 39 198 131 78
223	46 238 29 208
224	42 118 5
225	192 230 252 106 196
226	247 173 143 47
227	1 198 73 221
228	27 83 82
229	54 171 156
230	12 255 6
231	207 141 159 58
232	109 196 105
233	140 36 192
234	22 207 80 187
235	52 11 216
236	260 22 175 41
237	77 257 165
238	91 138 245 108
239	70 230 243
240	94 252 256
241	211 157 145 192
242	198 236 223 181 57
243	45 10 28
244	142 247 25 74
245	12 249 36 188
246	259 33 16 165 20
247	234 133 205 256 30
248	90 245 159
249	134 259 79 11 67
250	117 112 257 132
251	254 211 179 148
252	186 225 126
253	208 181 158
254	7 125 126 233
255	35 251 86
256	109 169 132
257	123 8 33 222 209
258	34 234 126 142
259	58 166 160 73
260	54 91 16
261	120 218 33
262	69 17 136 239 61
263	180 188 253 226
264	33 199 34 59
265	255 82 182
266	131 205 145 81
267	79 156 80 94
268	188 24 180 218
269	227 168 112
270	13 219 193
271	76 165 122 144
272	258 158 40 259 192
273	170 233 36 129
274	165 97 5
275	34 257 111
276	47 225 76
277	40 218 138 31
278	208 200 46 165 76
279	176 33 36 228 193
280	224 139 113 86
281	259 212 27 28
282	80 71 162
283	71 239 41
284	192 121 203 94 31
285	247 10 80 168
286	195 50 22 122
287	142 130 124
288	253 119 144
289	63 148 256
290	87 81 171 74
291	57 34 65 259
292	256 10 249 231
293	160 61 233 33 78
294	204 15 98 194
295	24 67 250 119 4
296	188 126 45
297	111 198 218 163
298	237 191 7 211 184
299	62 241 65
300	30 105 31 48 165
301	119 241 127 197 200
302	17 3 139
303	256 152 174
304	124 88 141 102 259
305	179 164 35
306	66 72 31 35 33
307	113 166 156 72 138
308	29 180 13
309	174 255 253 118
310	109 41 85 44 221
311	224 111 117
312	116 178 8 42
313	122 48 83 29
