Course	Room	Teacher	Time	Students
3	SHA410	99	39	407 78 416 385 
4	STOAUD	151	27	643 21 704 658 166 
5	ESTW307	251	16	61 
7	STOAUD	178	7	715 1015 338 1098 135 378 371 706 791 185 660 694 548 868 999 313 1181 783 163 1155 898 354 214 1097 674 57 429 304 853 562 563 1022 482 
9	ESTW307	281	51	446 1053 1082 1019 451 996 161 150 
12	SHA410	68	15	681 732 1180 
15	STOAUD	22	5	716 278 1017 1025 6 96 26 88 80 81 85 1170 584 454 457 175 977 1080 182 652 653 11 16 19 752 598 990 765 413 499 574 730 891 1116 766 767 1092 538 111 823 1165 568 750 1023 1037 1161 44 638 479 
17	ESTW307	108	33	681 407 1096 
19	SHA410	160	9	1013 444 747 235 130 828 245 519 511 966 260 954 1046 1027 487 
24	SHAAUD	23	22	344 917 903 556 83 624 545 1181 497 784 632 761 674 266 156 476 
27	SHA410	151	26	705 201 677 772 1029 1163 
33	SHA410	212	51	449 447 34 80 627 78 804 8 991 312 787 503 282 262 989 116 737 224 
36	SHAAUD	17	29	890 
39	ESTW307	317	23	1139 659 549 838 359 568 
45	ESTW307	179	54	1145 718 619 195 556 614 143 768 589 208 696 923 496 388 570 259 968 1071 50 63 983 1164 399 958 1111 472 
52	ESTW307	304	3	915 1061 553 552 703 175 577 256 464 
53	STOAUD	36	16	154 
58	SHAAUD	157	13	342 595 1062 430 1053 140 680 88 886 1179 203 665 786 967 287 670 53 843 1024 41 479 
59	SHAAUD	196	19	75 780 802 
60	SHAAUD	127	42	336 144 403 1170 888 468 894 215 
62	ESTW307	87	2	810 712 710 198 522 108 91 137 379 395 241 884 929 1011 418 832 833 1102 532 983 113 1164 1068 565 157 749 
63	SHA410	31	42	1144 1063 1135 103 1005 768 406 1176 586 519 459 620 1089 1012 1043 1143 1016 923 418 830 1109 218 1033 50 422 1068 472 478 
68	SHAAUD	180	48	796 607 
69	STOAUD	62	43	712 1063 372 185 950 321 77 8 990 861 383 258 1107 357 422 958 
72	ESTW307	21	52	744 396 451 14 996 498 786 898 675 150 49 955 
79	ESTW307	14	30	196 900 952 461 463 
81	SHA410	174	41	557 926 1177 874 
84	SHAAUD	143	51	1062 442 100 323 311 730 119 560 
89	STOAUD	159	15	645 1000 741 1059 183 71 
91	SHA410	43	35	816 917 190 432 942 490 20 28 1008 887 921 383 570 509 637 1091 211 285 260 55 535 119 825 1035 
93	SHAAUD	248	54	666 997 418 909 800 533 773 422 1068 
98	SHAAUD	4	0	817 910 1013 22 403 409 626 179 19 209 122 124 1134 830 254 603 469 935 1074 4 1093 987 855 222 49 485 
102	SHA410	90	34	794 568 
106	STOAUD	188	44	109 96 393 586 587 511 1047 697 968 908 1157 63 773 569 
108	STOAUD	105	34	525 599 337 333 1 951 510 176 975 181 659 127 1128 416 312 468 961 679 115 1022 48 1185 474 
110	SHA410	62	54	64 
111	STOAUD	153	47	595 273 335 1 687 758 392 999 871 648 213 1075 
115	STOAUD	97	52	590 190 818 1057 149 133 131 829 702 84 650 206 1041 921 579 255 1105 354 212 530 989 223 726 155 399 638 
118	SHAAUD	110	39	994 132 136 654 540 1096 878 
121	SHAAUD	41	3	1064 20 129 252 251 501 633 874 647 724 47 
123	SHA410	170	3	907 334 835 1073 534 225 
124	STOAUD	297	41	433 13 579 569 737 
128	SHAAUD	87	23	1144 347 102 435 93 1176 666 
129	STOAUD	118	8	1150 616 27 375 780 1003 
140	SHAAUD	311	14	751 563 
144	STOAUD	165	36	83 978 805 548 998 465 648 266 302 562 564 482 
147	ESTW307	73	10	525 435 178 663 462 646 1068 634 
149	SHAAUD	292	38	869 313 967 770 422 
158	SHA410	71	18	880 570 265 843 
160	ESTW307	2	26	976 997 123 211 954 48 487 
163	STOAUD	82	17	349 1098 140 708 88 976 654 120 125 367 1172 506 873 350 219 284 676 958 
165	SHA410	105	6	135 
172	ESTW307	257	57	1183 1162 290 190 35 1053 614 495 584 924 170 656 253 662 542 127 861 255 467 9 891 647 210 1092 1022 609 1161 47 44 43 638 
175	STOAUD	166	9	682 315 1169 
177	SHA410	17	21	743 940 793 217 
180	SHAAUD	48	4	592 704 17 722 
181	STOAUD	18	30	106 555 394 203 311 1174 730 282 269 53 
184	ESTW307	76	24	1150 453 975 181 185 884 659 363 966 872 1116 54 1184 
188	SHA410	39	52	292 528 1085 932 707 189 889 319 505 281 474 
192	STOAUD	26	56	290 273 1014 330 1137 173 1122 320 121 129 416 417 782 789 65 466 872 265 268 54 53 827 1024 1167 44 486 
194	SHAAUD	292	15	
197	ESTW307	11	1	812 1019 289 
199	SHAAUD	239	49	910 745 1139 688 135 122 151 479 
202	ESTW307	167	31	1061 199 524 523 39 335 236 26 403 87 587 626 624 174 973 654 188 12 867 885 326 779 70 662 543 540 381 258 252 602 631 633 901 1129 1076 678 1092 1121 1171 534 421 423 609 470 
204	ESTW307	54	53	1145 712 593 102 33 858 137 401 379 580 241 864 321 997 126 383 384 1107 909 701 303 565 41 
209	SHAAUD	230	28	915 594 290 591 192 438 1002 139 792 1136 1088 10 2 1049 542 602 165 213 767 1076 1164 954 1026 635 398 1113 
222	SHA410	195	10	29 1179 
224	SHA410	18	27	430 98 235 232 372 182 1088 663 598 366 504 502 165 213 
228	ESTW307	237	12	349 392 627 253 983 639 
235	SHA410	195	37	348 435 744 494 79 1047 69 1036 
236	STOAUD	74	28	109 905 613 951 130 492 658 833 783 468 1104 766 268 774 309 
238	ESTW307	232	18	275 107 791 517 79 1049 665 549 964 878 350 217 
239	ESTW307	133	27	812 911 295 274 108 104 1081 234 374 589 615 510 516 753 779 666 410 922 497 781 391 
240	SHAAUD	329	34	446 790 186 
244	SHA410	320	20	715 643 
249	SHAAUD	133	43	855 
251	SHAAUD	230	53	526 333 941 547 936 560 
253	STOAUD	146	10	349 778 1151 1167 
267	ESTW307	116	55	348 716 951 249 326 76 1042 121 782 1037 724 
276	SHA410	186	31	947 
277	STOAUD	272	35	1051 1078 1071 426 303 720 
282	SHAAUD	122	37	714 193 433 92 490 703 1131 1136 973 13 881 928 731 1031 111 301 847 737 489 
