Course	Room	Teacher	Time	Students
1	35	111	54	34 141 211 212 386 394 468 625 631 720 732 904 917 924 1033 1110 1115 1157 
2	17	19	46	3 18 25 120 183 243 279 315 367 371 409 416 430 478 480 486 507 537 601 708 854 941 954 958 999 1041 
3	15	59	33	10 17 94 113 205 305 372 425 540 553 695 768 957 964 1029 
4	15	62	11	13 129 134 150 367 476 677 718 755 1099 
5	44	7	9	4 78 91 121 241 262 377 378 422 503 628 645 675 677 777 814 817 946 1065 1129 1156 
6	44	79	29	76 239 311 349 385 407 547 588 612 619 648 681 743 800 810 855 866 901 936 944 963 966 1000 1108 1156 1164 
7	41	113	29	95 160 167 185 226 329 381 559 575 627 639 672 697 721 749 826 918 953 981 1022 1060 
8	46	65	32	82 125 155 187 247 306 321 346 405 507 597 620 655 728 764 775 993 1104 1109 1139 
9	41	46	14	120 141 146 243 309 404 455 519 585 604 642 646 653 741 769 785 790 791 900 903 1061 
10	5	104	19	326 417 477 498 688 702 706 830 894 910 1073 1082 1104 
11	46	42	16	40 280 431 444 482 512 515 551 612 625 641 727 827 867 1063 1103 1126 
12	41	2	22	88 187 213 246 318 382 406 527 546 560 572 720 734 819 827 981 1064 1080 1107 1136 
13	5	40	49	8 22 77 125 178 267 417 436 587 613 677 841 912 924 928 
14	5	45	27	2 22 131 228 308 310 464 473 533 595 696 742 872 896 1019 1033 1052 
15	44	26	30	52 211 227 336 414 460 548 565 633 728 731 762 955 1003 1031 
16	5	93	38	102 140 177 267 290 342 404 433 466 478 498 567 573 583 634 654 698 925 932 1038 1060 1126 1166 
17	15	3	32	54 108 320 413 530 683 721 735 773 778 844 889 900 935 
18	46	2	48	108 113 200 205 534 540 731 804 805 813 818 828 933 
19	44	37	53	86 112 242 261 279 350 441 460 556 724 839 911 970 1014 1017 1037 1147 
20	43	74	13	52 104 228 261 464 465 584 678 754 829 876 997 1127 
21	15	14	40	106 152 164 213 292 525 527 531 590 607 615 617 643 808 888 898 905 988 1089 1125 1133 1159 1169 
22	12	79	18	12 66 100 135 162 360 408 481 595 639 671 729 783 930 965 1063 1104 
23	29	29	13	31 147 200 312 484 506 521 554 560 793 813 912 925 1059 1116 1131 1147 
24	44	29	44	3 98 131 201 634 639 729 746 816 837 843 907 962 1021 1102 
25	41	76	53	56 96 183 244 428 514 534 558 571 664 716 767 773 854 855 1032 1052 
26	44	22	11	49 68 157 182 188 346 365 433 445 448 461 565 610 630 681 721 767 771 790 873 1071 
27	15	124	48	21 34 133 250 344 412 422 437 483 564 622 640 664 709 798 880 883 1053 1126 1146 
28	41	100	57	61 139 171 230 370 377 499 505 557 598 636 689 740 812 872 926 1017 1040 1132 1143 
29	15	3	37	33 42 53 79 151 173 214 241 260 267 283 303 343 347 397 500 555 557 605 697 710 878 962 981 1013 1016 1060 1084 
30	17	26	0	159 260 292 386 388 525 589 625 653 733 758 927 1080 1091 1092 1105 
31	17	87	56	37 266 348 354 407 438 498 548 559 575 659 752 812 816 978 990 1128 
32	44	40	48	32 35 93 137 138 256 281 313 347 374 377 394 451 452 536 547 579 582 620 631 671 682 704 875 900 998 1035 1100 1141 1160 1167 
33	5	127	56	4 24 76 287 289 335 368 409 574 580 715 772 828 881 922 1055 1089 1162 1163 
34	15	39	21	71 225 253 316 363 395 448 466 526 550 644 647 803 831 911 944 974 1171 
35	47	127	13	110 165 184 371 393 461 495 511 580 596 673 690 905 954 1046 1061 1159 1161 1173 
36	15	49	16	37 183 236 381 429 475 539 571 574 638 698 979 1036 1082 
37	46	91	18	28 47 87 91 98 106 109 193 269 471 486 534 553 576 647 745 765 794 820 961 968 1062 1081 1084 1091 1113 1154 
38	35	129	27	16 59 193 244 290 329 404 679 771 823 837 893 913 1117 1146 
39	41	66	39	55 215 236 276 310 432 584 622 794 803 965 1008 1029 1053 1069 
40	41	93	7	1 25 138 198 481 589 600 739 772 1027 1081 1105 1141 
41	44	4	40	44 136 204 541 588 591 683 766 826 
42	17	45	7	40 82 163 189 241 269 396 398 405 462 468 494 514 795 799 885 947 982 1015 1031 1068 1148 
43	17	123	22	22 62 107 138 456 483 717 750 778 905 942 943 978 1134 
44	41	111	55	6 41 111 174 315 346 425 491 525 566 584 593 643 676 692 763 789 1045 1106 
45	35	27	12	57 101 131 225 295 324 468 577 690 696 791 802 1001 1025 1138 
46	15	121	18	24 114 126 172 224 229 253 309 318 355 362 378 381 425 459 517 529 530 621 640 650 656 749 760 846 912 974 1002 1044 1077 
47	44	48	16	33 136 180 197 229 240 422 509 556 666 822 924 959 976 1022 1088 
48	44	4	21	55 127 142 169 194 245 248 271 362 417 475 505 509 524 541 555 688 886 892 1052 1064 1121 1137 1150 
49	44	74	2	153 281 296 520 658 778 960 961 973 997 1079 
50	46	37	23	80 83 396 519 601 737 770 788 837 844 846 945 962 1162 
51	15	109	23	27 123 159 174 179 215 216 280 647 669 763 845 883 936 1005 1020 1101 
52	44	47	3	99 186 347 387 500 535 581 619 626 668 714 730 744 753 788 798 831 863 908 949 961 1007 1048 1085 
53	44	106	18	54 152 175 342 410 443 628 687 707 715 752 762 780 785 799 871 935 938 1006 1023 1057 
54	17	120	29	36 162 236 319 354 390 439 578 584 692 712 746 934 1001 1026 1092 
55	44	5	51	11 84 134 169 193 194 271 414 442 471 497 670 962 992 995 1004 1008 1070 
56	46	60	6	14 39 322 373 467 470 580 636 728 747 840 862 866 931 942 1086 1107 
57	41	6	3	3 13 110 155 205 249 265 314 348 376 474 552 553 597 652 673 726 774 822 858 1024 1166 
58	17	36	55	107 116 276 310 388 419 423 535 659 662 670 787 1007 1011 1057 1108 1116 1138 1139 1145 1152 
59	5	6	46	74 151 155 235 290 291 324 344 395 419 513 534 586 662 702 774 867 896 964 1009 1039 1040 1042 1122 1154 
60	5	90	36	38 132 147 254 317 371 390 462 488 515 756 792 858 938 1015 1130 
61	44	71	31	18 72 89 175 217 272 418 441 552 560 614 691 724 923 1098 1140 1141 
62	44	58	43	27 34 159 325 487 681 757 964 1050 1056 1060 1078 1148 1161 
63	12	84	13	305 382 536 537 594 649 796 821 824 874 903 934 1070 1087 
64	35	62	19	12 20 32 93 107 117 159 508 546 575 713 735 848 992 1059 
65	41	125	17	29 30 81 193 237 269 377 438 561 632 681 882 903 922 973 975 1019 1080 1143 1151 1153 1169 
66	15	36	35	39 75 89 173 485 599 771 784 807 880 950 1051 1069 1117 1167 1168 
67	41	96	11	128 155 327 335 400 857 1126 1158 
68	44	52	37	5 35 63 67 122 181 216 281 297 309 323 357 360 384 416 476 496 569 722 739 825 835 898 925 974 
69	17	108	17	35 95 113 116 132 179 240 345 410 416 514 571 606 804 808 894 968 992 1133 1155 
70	5	50	5	161 235 258 361 378 451 457 482 530 554 645 653 674 678 779 806 889 1026 1090 1129 
71	46	108	42	70 133 181 188 217 275 307 328 331 441 538 632 745 831 933 945 951 968 971 979 1012 1023 1152 
72	5	73	17	49 79 156 200 598 619 643 747 774 779 920 1021 1068 1076 1132 
73	41	18	34	72 104 180 192 307 329 508 522 578 609 664 709 712 713 783 810 821 853 874 904 940 980 1109 1166 
74	44	31	35	127 148 170 256 271 319 434 462 476 503 559 605 641 688 694 701 843 867 940 1064 
75	17	113	34	36 41 54 87 187 317 332 376 419 529 576 723 781 797 807 834 932 1032 1035 1049 
76	41	47	2	18 97 176 210 272 301 321 340 399 511 560 603 611 633 868 870 926 957 1058 1149 1150 
77	15	102	42	81 93 320 366 415 459 559 562 570 749 751 952 1003 1054 1095 1173 
78	5	107	52	11 119 123 213 279 453 470 500 708 720 836 910 956 
79	17	65	25	5 64 73 121 216 231 296 428 583 591 655 755 809 823 832 850 879 1019 1096 1125 
80	41	68	40	171 277 291 336 467 614 621 744 785 850 891 915 1017 1079 1107 
81	41	50	1	15 61 253 270 304 394 466 594 633 1071 
82	41	81	21	74 158 293 294 323 358 465 597 847 949 1175 
83	5	116	7	65 158 170 232 238 251 333 352 425 427 428 436 561 594 610 704 820 849 950 1034 1109 
84	41	22	18	60 245 458 479 513 532 546 705 742 853 872 877 920 929 1039 1058 1168 
85	17	5	40	11 52 85 92 182 284 413 459 486 542 602 748 789 827 828 848 872 935 1002 1086 1117 1173 
86	46	100	13	7 107 123 160 190 297 328 372 374 516 733 747 914 917 1072 1090 1093 1095 1168 
87	17	23	11	43 99 133 136 257 288 375 380 405 435 510 687 829 861 884 908 928 1049 1078 1123 1141 1152 1172 
88	17	60	57	2 49 149 175 438 489 497 544 939 965 980 
89	5	18	11	94 106 110 124 152 177 412 477 478 497 504 576 602 691 765 841 1079 1135 1164 
90	17	13	53	143 177 424 426 628 725 727 758 951 986 1139 
91	17	128	14	169 227 271 359 402 435 656 759 838 899 1125 
