Course	Section	Room	Teacher	Time	Students
1	1	24	220	39	227 632 646 705 727 778 801 826 902 937 962 979 1018 1039 1049 1056 1112 1126 1156 
1	2	24	163	17	371 423 1129 
2	1	24	7	46	138 326 332 343 603 634 813 854 935 1038 1042 1076 
3	1	34	213	52	25 164 302 333 361 385 404 435 467 572 632 648 662 669 670 721 769 818 896 901 923 989 1005 1010 1171 
3	2	44	228	15	128 546 1001 
3	3	25	220	39	
4	1	9	247	43	14 40 54 295 325 342 461 481 519 524 684 718 886 1028 1072 1083 1093 1155 
4	2	5	125	32	
5	1	39	94	6	43 108 118 179 224 274 328 330 370 401 563 566 634 731 810 939 977 1033 1048 1073 
6	1	39	247	43	4 45 61 101 141 165 202 230 499 600 631 659 747 854 1152 1161 
7	1	16	55	57	114 150 151 254 298 395 402 418 462 497 533 546 717 900 941 981 994 
7	2	44	106	10	
8	1	16	40	10	101 123 125 128 177 257 312 326 474 485 559 665 705 830 986 1092 1122 
8	2	34	64	21	940 
9	1	16	34	5	33 83 112 166 184 321 470 534 537 593 797 973 987 1055 1075 1077 1101 1129 
9	2	44	104	57	
10	1	38	213	52	53 124 285 292 376 406 426 840 868 874 1024 1117 1176 
10	2	5	163	17	243 
10	3	41	12	7	
11	1	9	21	20	1 56 67 69 120 209 235 249 357 440 451 644 677 806 891 1010 1074 1089 1096 
12	1	2	42	18	78 230 245 433 469 479 518 580 607 708 763 829 963 1048 1119 
12	2	25	115	8	530 
13	1	2	91	10	20 28 49 76 82 270 308 416 523 539 557 771 792 801 839 878 1004 1017 
14	1	9	90	25	37 164 353 440 443 486 530 541 619 620 644 744 871 893 1007 1086 1108 
15	1	9	191	32	7 104 294 327 342 397 450 469 513 561 616 780 834 851 858 958 1100 1117 1125 
16	1	2	15	7	22 53 80 169 186 195 246 260 330 447 496 789 835 852 865 926 938 968 988 1041 1120 1148 
16	2	5	46	29	
17	1	16	52	16	200 262 302 379 393 399 632 639 793 836 858 959 981 996 1045 
17	2	39	122	22	
17	3	41	29	43	
18	1	39	206	23	33 62 139 196 354 580 675 690 765 790 793 863 961 1036 1099 
19	1	24	21	20	39 172 211 428 538 593 724 749 862 880 887 899 983 1145 
19	2	41	3	51	
20	1	24	183	47	1 24 49 144 166 192 246 339 403 424 596 653 794 862 877 884 981 1021 1027 1157 
20	2	32	73	30	78 
21	1	32	32	8	28 43 140 204 208 211 320 355 635 686 748 786 847 965 1080 1095 1121 
21	2	39	15	7	
22	1	9	162	8	90 234 236 286 481 490 772 787 791 883 980 1064 1071 1109 
22	2	39	7	46	
23	1	41	38	44	30 53 131 166 600 660 673 693 856 970 1004 
23	2	23	147	21	
23	3	16	194	40	
24	1	5	101	37	108 119 191 193 215 268 295 369 386 391 420 536 667 672 694 853 871 884 967 989 
25	1	35	250	21	8 98 187 244 400 553 572 666 760 920 937 992 1117 1167 
25	2	32	212	39	314 756 1065 
26	1	32	232	51	16 103 164 434 483 557 586 599 608 697 843 847 929 1093 1133 
26	2	32	20	38	719 
27	1	44	155	2	74 228 281 558 652 673 713 798 825 840 919 936 985 
27	2	8	67	21	708 
28	1	2	255	36	14 32 34 59 139 178 243 281 364 513 525 593 641 701 714 715 800 804 866 887 948 1046 1065 1144 
28	2	24	29	43	
28	3	9	72	13	
29	1	32	110	29	57 223 308 313 348 393 443 504 526 562 604 677 700 814 852 884 1066 1095 
29	2	43	174	6	407 539 
29	3	25	144	3	568 
30	1	39	211	20	64 80 94 153 164 247 300 467 543 558 573 576 669 698 769 773 790 801 
30	2	39	201	56	451 903 920 955 997 
31	1	9	223	19	31 129 149 221 277 284 300 306 319 386 447 453 479 932 1029 1101 
31	2	32	10	53	
32	1	34	217	6	146 385 479 573 619 632 718 905 918 1005 
32	2	24	90	25	
33	1	39	173	1	143 246 257 261 264 279 293 306 320 399 465 470 686 696 717 798 823 1032 1105 1135 1142 
33	2	2	209	12	
34	1	39	126	26	96 101 258 264 275 291 336 354 400 401 492 516 790 809 1041 
35	1	2	237	8	4 68 96 164 255 305 306 428 511 594 689 709 784 799 825 866 895 915 1087 1151 1175 
36	1	39	180	48	16 43 96 116 174 233 245 273 279 526 528 596 698 843 1016 1091 
37	1	9	101	37	155 330 333 363 376 451 572 576 895 970 971 1011 1076 1131 1139 1155 
38	1	39	133	33	60 67 323 340 349 421 437 457 642 666 730 868 975 1038 1049 1160 
39	1	39	46	29	1 10 18 222 360 382 407 539 580 584 671 705 729 736 776 887 907 997 1166 
40	1	32	187	47	61 86 161 221 272 277 491 555 583 642 770 798 1026 1029 1149 
40	2	44	252	47	
40	3	35	32	8	
41	1	24	30	6	42 89 148 193 195 213 236 283 512 565 579 697 715 745 829 890 1113 1132 
42	1	44	124	34	8 37 224 312 437 488 568 574 579 616 617 722 793 810 936 1098 
42	2	5	223	19	
43	1	16	246	8	10 11 74 175 189 347 364 474 563 604 831 873 919 959 1024 1050 1142 
43	2	9	255	36	204 833 
44	1	9	112	52	55 65 70 128 184 310 452 466 587 751 761 1151 
45	1	39	102	52	75 110 154 174 200 243 296 343 362 398 555 710 740 802 964 1042 1065 1082 
46	1	39	59	50	12 35 99 223 278 419 509 608 661 663 753 832 882 946 1022 1045 1063 1106 
47	1	41	187	47	226 276 374 409 436 477 486 524 538 540 604 606 609 639 665 692 715 730 864 886 888 1012 
47	2	5	203	15	323 462 
47	3	38	257	6	
48	1	25	227	18	77 194 300 313 445 502 511 628 731 734 929 930 937 1038 
48	2	41	236	25	650 
49	1	39	128	17	2 175 181 218 416 421 425 480 553 556 917 927 935 1003 1028 1034 1082 1103 
50	1	16	1	38	58 132 149 186 286 408 434 545 548 567 676 721 766 850 901 998 1050 1126 
50	2	41	95	10	372 
50	3	32	9	12	
